Watchlist 'Internals & Indicators'

Internals & Indicators
Symbol,Description,Mark,Mark %Change,RS50
$NYLOW,NYSE New Lows 1Y,70.000,-47.37%,-0.09
$AMHI1W,NYSE MKT (AMEX) New Highs 1W,31.000,-26.19%,-0.16
$AMHI2W,NYSE MKT (AMEX) New Highs 2W,20.000,-28.57%,-0.29
$AMHI1M,NYSE MKT (AMEX) New Highs 1M,11.000,-31.25%,-0.52
$AMHI3M,NYSE MKT (AMEX) New Highs 3M,5.000,+150.00%,-0.5
$AMHI6M,NYSE MKT (AMEX) New Highs 6M,5.000,+150.00%,0.25
$AMHI9M,NYSE MKT (AMEX) New Highs 9M,5.000,+150.00%,0.66
$AMHGH,NYSE MKT (AMEX) New Highs 1Y,5.000,+150.00%,0.66
$AMLO1W,NYSE MKT (AMEX) New Lows 1W,63.000,-4.55%,-0.15
$AMLO2W,NYSE MKT (AMEX) New Lows 2W,50.000,-3.85%,-0.09
$AMLO1M,NYSE MKT (AMEX) New Lows 1M,40.000,-2.44%,0.11
$AMLO3M,NYSE MKT (AMEX) New Lows 3M,27.000,+8.00%,0.5
$AMLO6M,NYSE MKT (AMEX) New Lows 6M,23.000,+35.29%,0.35
$AMLO9M,NYSE MKT (AMEX) New Lows 9M,21.000,+31.25%,0.31
$AMLOW,NYSE MKT (AMEX) New Lows 1Y,19.000,+26.67%,0.36
$ARHI1W,NYSE ARCA New Highs 1W,258.000,-6.52%,0.12
$ARHI2W,NYSE ARCA New Highs 2W,198.000,0.00%,0.29
$ARHI1M,NYSE ARCA New Highs 1M,125.000,-3.85%,-0.02
$ARHI3M,NYSE ARCA New Highs 3M,77.000,+133.33%,-0.13
$ARHI6M,NYSE ARCA New Highs 6M,72.000,+200.00%,-0.07
$ARHI9M,NYSE ARCA New Highs 9M,72.000,+213.04%,0.01
$ARHGH,NYSE ARCA New Highs 1Y,72.000,+227.27%,0.03
$ARLO1W,NYSE ARCA New Lows 1W,273.000,-77.46%,-0.62
$ARLO2W,NYSE ARCA New Lows 2W,252.000,-75.25%,0.04
$ARLO1M,NYSE ARCA New Lows 1M,180.000,-69.95%,0.36
$ARLO3M,NYSE ARCA New Lows 3M,95.000,-75.70%,3.12
$ARLO6M,NYSE ARCA New Lows 6M,59.000,-79.23%,2.27
$ARLO9M,NYSE ARCA New Lows 9M,54.000,-80.65%,2.37
$ARLOW,NYSE ARCA New Lows 1Y,50.000,-79.08%,2.57
$NAHI1W,NASDAQ New Highs 1W,527.000,-7.22%,-0.01
$NAHI1M,NASDAQ New Highs 1M,216.000,+22.03%,-0.3
$NAHI3M,NASDAQ New Highs 3M,134.000,+54.02%,-0.3
$NAHI6M,NASDAQ New Highs 6M,105.000,+56.72%,-0.22
$NAHI9M,NASDAQ New Highs 9M,97.000,+59.02%,-0.12
$NAHGH,NASDAQ New Highs 1Y,96.000,+65.52%,-0.1
$NALO1W,NASDAQ New Lows 1W,1267.000,-36.36%,-0.18
$NALO2W,NASDAQ New Lows 2W,1086.000,-28.13%,0.18
$NALO1M,NASDAQ New Lows 1M,748.000,-14.61%,0.22
$NALO3M,NASDAQ New Lows 3M,439.000,-14.09%,0.69
$NALO6M,NASDAQ New Lows 6M,308.000,-20.21%,0.37
$NALO9M,NASDAQ New Lows 9M,280.000,-23.29%,0.34
$NALOW,NASDAQ New Lows 1Y,261.000,-21.15%,0.36
$ETFHI1W,ETF New Highs 1W,347.000,-11.48%,0.06
$ETFHI2W,ETF New Highs 2W,262.000,-1.87%,0.15
$ETFHI1M,ETF New Highs 1M,166.000,-2.92%,-0.1
$ETFHI3M,ETF New Highs 3M,101.000,+94.23%,-0.19
$ETFHI6M,ETF New Highs 6M,89.000,+147.22%,-0.15
$ETFHI9M,ETF New Highs 9M,89.000,+169.70%,-0.05
$ETFHGH,ETF New Highs 1Y,89.000,+178.13%,-0.04
$ETFLO1W,ETF New Lows 1W,501.000,-71.77%,-0.54
$ETFLO2W,ETF New Lows 2W,468.000,-68.63%,0.26
$ETFLO1M,ETF New Lows 1M,341.000,-62.20%,0.58
$ETFLO3M,ETF New Lows 3M,182.000,-69.05%,2.79
$ETFLO6M,ETF New Lows 6M,118.000,-73.24%,1.81
$ETFLO9M,ETF New Lows 9M,108.000,-75.12%,1.77
$ETFLOW,ETF New Lows 1Y,103.000,-72.68%,2.02
$PCALL,Put/Call ratio for all OCC options,.849,-2.10%,0.23
$PCI,Put/Call ratio for all DJI Average constituents options,.548,-2.63%,0.41
$PCRL,Put/Call ratio for all Russell 2000 constituents options,.470,+4.05%,0.3
$PCSP,Put/Call ratio for all SP500 constituents options,.675,+1.96%,0.34
$PCND,Put/Call ratio for all NASDAQ 100 constituents options,.717,+2.09%,0.4
